neighbourhood,year,count
Arbutus-Ridge,2003,616
Arbutus-Ridge,2004,649
Arbutus-Ridge,2005,619
Arbutus-Ridge,2006,441
Arbutus-Ridge,2007,361
Arbutus-Ridge,2008,335
Arbutus-Ridge,2009,380
Arbutus-Ridge,2010,322
Arbutus-Ridge,2011,302
Arbutus-Ridge,2012,338
Arbutus-Ridge,2013,300
Arbutus-Ridge,2014,407
Arbutus-Ridge,2015,363
Arbutus-Ridge,2016,434
Arbutus-Ridge,2017,378
Arbutus-Ridge,2018,311
Arbutus-Ridge,2019,263
Dunbar-Southlands,2003,773
Dunbar-Southlands,2004,949
Dunbar-Southlands,2005,720
Dunbar-Southlands,2006,544
Dunbar-Southlands,2007,434
Dunbar-Southlands,2008,367
Dunbar-Southlands,2009,402
Dunbar-Southlands,2010,416
Dunbar-Southlands,2011,522
Dunbar-Southlands,2012,554
Dunbar-Southlands,2013,392
Dunbar-Southlands,2014,476
Dunbar-Southlands,2015,560
Dunbar-Southlands,2016,423
Dunbar-Southlands,2017,457
Dunbar-Southlands,2018,474
Dunbar-Southlands,2019,329
Fairview,2003,3476
Fairview,2004,3076
Fairview,2005,3091
Fairview,2006,2608
Fairview,2007,2372
Fairview,2008,2072
Fairview,2009,2069
Fairview,2010,1741
Fairview,2011,1477
Fairview,2012,1771
Fairview,2013,1610
Fairview,2014,2037
Fairview,2015,1990
Fairview,2016,1936
Fairview,2017,1775
Fairview,2018,1795
Fairview,2019,1827
Grandview-Woodland,2003,3140
Grandview-Woodland,2004,2666
Grandview-Woodland,2005,2270
Grandview-Woodland,2006,2031
Grandview-Woodland,2007,2060
Grandview-Woodland,2008,1752
Grandview-Woodland,2009,1482
Grandview-Woodland,2010,1455
Grandview-Woodland,2011,1322
Grandview-Woodland,2012,1319
Grandview-Woodland,2013,1599
Grandview-Woodland,2014,1597
Grandview-Woodland,2015,1649
Grandview-Woodland,2016,1958
Grandview-Woodland,2017,1925
Grandview-Woodland,2018,1761
Grandview-Woodland,2019,1613
Hastings-Sunrise,2003,1879
Hastings-Sunrise,2004,1929
Hastings-Sunrise,2005,1516
Hastings-Sunrise,2006,1503
Hastings-Sunrise,2007,1265
Hastings-Sunrise,2008,1205
Hastings-Sunrise,2009,1116
Hastings-Sunrise,2010,1007
Hastings-Sunrise,2011,1033
Hastings-Sunrise,2012,1050
Hastings-Sunrise,2013,853
Hastings-Sunrise,2014,938
Hastings-Sunrise,2015,1102
Hastings-Sunrise,2016,1169
Hastings-Sunrise,2017,1208
Hastings-Sunrise,2018,1270
Hastings-Sunrise,2019,1229
Kensington-Cedar Cottage,2003,2230
Kensington-Cedar Cottage,2004,2560
Kensington-Cedar Cottage,2005,2179
Kensington-Cedar Cottage,2006,2094
Kensington-Cedar Cottage,2007,1714
Kensington-Cedar Cottage,2008,1610
Kensington-Cedar Cottage,2009,1481
