Neighbourhood,Break and Enter,Theft
Arbutus-Ridge,-26.67,-1.96
Dunbar-Southlands,-46.49,-19.22
Fairview,20.85,0.62
Grandview-Woodland,-22.26,-6.28
Hastings-Sunrise,-5.45,-3.21
Kensington-Cedar Cottage,-15.46,4.58
Kerrisdale,-0.83,-6.83
Killarney,-40.57,5.26
Kitsilano,-21.4,-16.8
Marpole,-5.92,7.53
Mount Pleasant,-2.43,-3.59
Oakridge,-14.08,12.17
Renfrew-Collingwood,-29.96,-8.72
Riley Park,-12.74,9.39
Shaughnessy,-28.03,-41.35
South Cambie,0.0,41.48
Strathcona,4.93,1.57
Sunset,-0.77,0.35
Victoria-Fraserview,-42.11,-0.29
West End,-11.92,-2.14
West Point Grey,-46.07,2.37
