year,neighbourhood,percentage
2004,Arbutus-Ridge,8.63
2004,Dunbar-Southlands,-2.06
2004,Fairview,-46.25
2004,Grandview-Woodland,-21.23
2004,Hastings-Sunrise,-10.64
2004,Kensington-Cedar Cottage,18.25
2004,Kerrisdale,-18.12
2004,Killarney,3.28
2004,Kitsilano,30.95
2004,Marpole,-20.0
2004,Mount Pleasant,41.67
2004,Oakridge,0.53
2004,Renfrew-Collingwood,28.72
2004,Riley Park,-19.83
2004,Shaughnessy,-21.13
2004,South Cambie,-1.96
2004,Strathcona,37.53
2004,Sunset,-27.66
2004,Victoria-Fraserview,-43.04
2004,West End,-15.56
2004,West Point Grey,-26.84
2005,Arbutus-Ridge,46.04
2005,Dunbar-Southlands,20.69
2005,Fairview,32.65
2005,Grandview-Woodland,-7.69
2005,Hastings-Sunrise,-34.0
2005,Kensington-Cedar Cottage,16.16
2005,Kerrisdale,26.52
2005,Killarney,-20.27
2005,Kitsilano,-0.43
2005,Marpole,10.39
2005,Mount Pleasant,-19.22
2005,Oakridge,-4.82
2005,Renfrew-Collingwood,-0.51
2005,Riley Park,-12.17
2005,Shaughnessy,-15.25
2005,South Cambie,-13.89
2005,Strathcona,7.15
2005,Sunset,-13.05
2005,Victoria-Fraserview,-17.99
2005,West End,14.86
2005,West Point Grey,-7.06
2006,Arbutus-Ridge,36.51
2006,Dunbar-Southlands,-6.42
2006,Fairview,0.84
2006,Grandview-Woodland,-12.55
2006,Hastings-Sunrise,11.41
2006,Kensington-Cedar Cottage,0.62
2006,Kerrisdale,-8.22
2006,Killarney,-18.77
2006,Kitsilano,-18.9
2006,Marpole,4.5
2006,Mount Pleasant,-25.17
2006,Oakridge,-6.78
2006,Renfrew-Collingwood,-2.33
2006,Riley Park,-13.48
2006,Shaughnessy,2.11
2006,South Cambie,24.64
2006,Strathcona,17.22
2006,Sunset,4.03
2006,Victoria-Fraserview,28.87
2006,West End,-0.16
2006,West Point Grey,-12.03
2007,Arbutus-Ridge,-6.28
2007,Dunbar-Southlands,11.21
2007,Fairview,-20.61
2007,Grandview-Woodland,-7.19
2007,Hastings-Sunrise,-16.71
2007,Kensington-Cedar Cottage,-12.94
2007,Kerrisdale,-13.52
2007,Killarney,-5.21
2007,Kitsilano,4.28
2007,Marpole,7.62
2007,Mount Pleasant,-22.69
2007,Oakridge,28.4
2007,Renfrew-Collingwood,15.72
2007,Riley Park,2.37
2007,Shaughnessy,17.75
2007,South Cambie,10.09
2007,Strathcona,-3.21
2007,Sunset,31.45
2007,Victoria-Fraserview,-16.91
2007,West End,-5.96
2007,West Point Grey,-22.88
2008,Arbutus-Ridge,-6.51
2008,Dunbar-Southlands,-2.85
