TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2019,8,27,4,12,10XX ALBERNI ST,West End,491007.779775,5459174.3376
Break and Enter Commercial,2019,7,21,11,21,10XX BEACH AVE,Central Business District,490249.23071000003,5458166.832780001
Break and Enter Commercial,2019,10,19,7,50,10XX BEACH AVE,Central Business District,490269.909959,5458141.1263
Break and Enter Commercial,2019,8,3,8,0,10XX BROUGHTON ST,West End,490247.151179,5459171.04146
Break and Enter Commercial,2019,11,7,3,20,10XX BURNABY ST,West End,490495.41659700003,5458443.88196
Break and Enter Commercial,2019,8,3,18,0,10XX CAMBIE ST,Central Business District,491345.17958999996,5458059.97141
Break and Enter Commercial,2019,7,8,6,51,10XX CAMBIE ST,Central Business District,491377.565209,5458122.59408
Break and Enter Commercial,2019,9,26,6,10,10XX CANADA PL,Central Business District,491493.37775100005,5459541.94739
Break and Enter Commercial,2019,10,18,2,42,10XX CANADA PL,Central Business District,491493.37775100005,5459541.94739
Break and Enter Commercial,2019,11,1,0,38,10XX CANADA PL,Central Business District,491493.37775100005,5459541.94739
Break and Enter Commercial,2019,8,5,13,3,10XX CANADA PL,Central Business District,491519.543937,5459520.89683
Break and Enter Commercial,2019,11,4,7,23,10XX COMMERCIAL DR,Grandview-Woodland,494937.460529,5458083.36844
Break and Enter Commercial,2019,9,15,14,13,10XX COMOX ST,West End,490653.75895,5458753.91389
Break and Enter Commercial,2019,8,30,10,38,10XX E BROADWAY AVE,Mount Pleasant,493987.828181,5456638.00586
Break and Enter Commercial,2019,10,9,6,29,10XX GRANVILLE ST,Central Business District,491025.21479399997,5458487.17671
Break and Enter Commercial,2019,11,12,16,30,10XX HAMILTON ST,Central Business District,491200.34109700006,5458150.11587
Break and Enter Commercial,2019,8,1,22,0,10XX HOMER ST,Central Business District,491167.092853,5458201.75911
Break and Enter Commercial,2019,9,23,12,4,10XX HOMER ST,Central Business District,491196.874881,5458219.05183
Break and Enter Commercial,2019,10,2,9,23,10XX HOWE ST,Central Business District,490867.557987,5458473.40925
Break and Enter Commercial,2019,9,20,4,27,10XX HOWE ST,Central Business District,490943.889262,5458551.42282
Break and Enter Commercial,2019,7,27,12,44,10XX JERVIS ST,West End,490409.62100200006,5459131.10833
