neighbourhood,date,count
Arbutus-Ridge,2003-01-01,1
Arbutus-Ridge,2003-01-02,3
Arbutus-Ridge,2003-01-03,3
Arbutus-Ridge,2003-01-04,1
Arbutus-Ridge,2003-01-05,2
Arbutus-Ridge,2003-01-06,1
Arbutus-Ridge,2003-01-07,4
Arbutus-Ridge,2003-01-08,4
Arbutus-Ridge,2003-01-09,6
Arbutus-Ridge,2003-01-10,1
Arbutus-Ridge,2003-01-12,2
Arbutus-Ridge,2003-01-13,3
Arbutus-Ridge,2003-01-14,3
Arbutus-Ridge,2003-01-16,2
Arbutus-Ridge,2003-01-17,1
Arbutus-Ridge,2003-01-18,1
Arbutus-Ridge,2003-01-19,4
Arbutus-Ridge,2003-01-20,4
Arbutus-Ridge,2003-01-21,2
Arbutus-Ridge,2003-01-22,8
Arbutus-Ridge,2003-01-23,2
Arbutus-Ridge,2003-01-24,2
Arbutus-Ridge,2003-01-25,3
Arbutus-Ridge,2003-01-27,3
Arbutus-Ridge,2003-01-28,3
Arbutus-Ridge,2003-01-29,2
Arbutus-Ridge,2003-01-30,1
Arbutus-Ridge,2003-01-31,3
Arbutus-Ridge,2003-02-01,2
Arbutus-Ridge,2003-02-02,2
Arbutus-Ridge,2003-02-05,4
Arbutus-Ridge,2003-02-06,5
Arbutus-Ridge,2003-02-07,1
Arbutus-Ridge,2003-02-09,2
Arbutus-Ridge,2003-02-11,3
Arbutus-Ridge,2003-02-13,1
Arbutus-Ridge,2003-02-14,4
Arbutus-Ridge,2003-02-15,1
Arbutus-Ridge,2003-02-16,1
Arbutus-Ridge,2003-02-17,3
Arbutus-Ridge,2003-02-18,4
Arbutus-Ridge,2003-02-19,1
Arbutus-Ridge,2003-02-20,1
Arbutus-Ridge,2003-02-22,2
Arbutus-Ridge,2003-02-23,1
Arbutus-Ridge,2003-02-24,5
Arbutus-Ridge,2003-02-27,3
Arbutus-Ridge,2003-02-28,1
Arbutus-Ridge,2003-03-01,2
Arbutus-Ridge,2003-03-03,1
Arbutus-Ridge,2003-03-04,3
Arbutus-Ridge,2003-03-06,4
Arbutus-Ridge,2003-03-07,1
Arbutus-Ridge,2003-03-10,2
Arbutus-Ridge,2003-03-11,2
Arbutus-Ridge,2003-03-12,2
Arbutus-Ridge,2003-03-13,2
Arbutus-Ridge,2003-03-14,11
Arbutus-Ridge,2003-03-15,1
Arbutus-Ridge,2003-03-16,1
Arbutus-Ridge,2003-03-17,1
Arbutus-Ridge,2003-03-18,1
Arbutus-Ridge,2003-03-19,4
Arbutus-Ridge,2003-03-20,2
Arbutus-Ridge,2003-03-21,3
Arbutus-Ridge,2003-03-22,1
Arbutus-Ridge,2003-03-26,2
Arbutus-Ridge,2003-03-27,1
Arbutus-Ridge,2003-03-28,3
Arbutus-Ridge,2003-03-29,5
Arbutus-Ridge,2003-03-30,3
Arbutus-Ridge,2003-03-31,2
Arbutus-Ridge,2003-04-01,2
Arbutus-Ridge,2003-04-03,4
Arbutus-Ridge,2003-04-04,4
Arbutus-Ridge,2003-04-06,5
Arbutus-Ridge,2003-04-07,2
Arbutus-Ridge,2003-04-08,4
Arbutus-Ridge,2003-04-09,2
Arbutus-Ridge,2003-04-10,1
Arbutus-Ridge,2003-04-11,1
Arbutus-Ridge,2003-04-12,1
Arbutus-Ridge,2003-04-13,5
Arbutus-Ridge,2003-04-14,1
Arbutus-Ridge,2003-04-15,2
