X,Y
490612.964805,5457109.8222900005
491007.779775,5459174.3376
490232.615714,5458203.35597
490234.41356099996,5458201.01503
490249.23071000003,5458166.832780001
490249.36489399994,5458166.65809
490255.532221,5458158.61314
490268.431997,5458142.57699
490269.909959,5458141.1263
490247.151179,5459171.04146
490270.059641,5459194.27276
490439.91224499996,5458487.37386
490495.41659700003,5458443.88196
490729.910172,5458609.3957
490730.37438900006,5458609.86712
490807.69647100003,5458703.098130001
491345.17958999996,5458059.97141
491377.565209,5458122.59408
491492.04261400003,5459540.38964
491493.37775100005,5459541.94739
491493.37775100005,5459541.94739
491493.37775100005,5459541.94739
491493.37775100005,5459541.94739
491493.37775100005,5459541.94739
491493.37775100005,5459541.94739
491519.543937,5459520.89683
494937.460529,5458083.36844
490653.75895,5458753.91389
490559.72929799993,5458525.70803
489847.435531,5459555.98618
493987.828181,5456638.00586
494074.110411,5456636.80664
494075.042662,5458803.7118
493846.52838000003,5450670.01583
491025.21479399997,5458487.17671
491200.34109700006,5458150.11587
491285.29198100005,5458223.53862
491165.448759,5458200.08344
491167.092853,5458201.75911
491167.092853,5458201.75911
491196.874881,5458219.05183
491253.957025,5458277.2182
491253.957025,5458277.2182
490867.557987,5458473.40925
490889.59578599996,5458482.857890001
490943.889262,5458551.42282
490409.62100200006,5459131.10833
494058.445716,5458493.21221
493928.89718100004,5455669.32424
493974.372343,5455625.64939
494013.28891000006,5455597.63481
489317.118003,5460043.1044
490704.340475,5455350.025780001
492723.770598,5458103.87924
491255.14824099996,5458126.90595
491260.994331,5458119.79552
491260.994331,5458119.79552
491273.074664,5458145.49888
491324.539053,5458185.70014
491543.909178,5457836.0862
491613.926213,5457845.8848
491613.926213,5457845.8848
490730.00865900004,5458831.77615
490766.471991,5458782.87606
490766.471991,5458782.87606
490298.132684,5458316.567559999
490352.28155600006,5458275.75626
490477.843826,5451322.740569999
492582.569352,5458115.22283
491095.64510900003,5458261.36565
491126.78829799994,5458305.4868
490947.417733,5459081.35728
490947.417733,5459081.35728
490947.417733,5459081.35728
490965.52860600007,5459050.604669999
490998.24616700003,5459018.27327
491014.60495,5459002.10757
491021.03225,5459008.61164
491021.03225,5459008.61164
491021.03225,5459008.61164
490703.93330699997,5457207.43165
493873.129094,5450918.86699
493873.129094,5450918.86699
493873.129094,5450918.86699
493875.666564,5450918.92953
493875.666564,5450918.92953
493875.666564,5450918.92953
493875.666564,5450918.92953
491024.42735600006,5458325.04199
491033.577803,5458334.34599
490890.019575,5458931.84021
490890.019575,5458931.84021
492788.809589,5458080.018209999
494274.83603199996,5458072.49596
490696.284199,5456324.14
490624.20265,5456224.152000001
490720.852489,5456221.56406
490714.185185,5456129.81063
490724.577962,5456854.31012
490638.962385,5456754.19678
490693.116897,5456752.81047
490782.595436,5456750.5201
491115.752032,5459163.17794
491115.752032,5459163.17794
491451.633842,5459410.33029
491451.633842,5459410.33029
491263.95918500004,5459407.59069
491263.95918500004,5459407.59069
491332.29684799997,5459374.75095
491351.621568,5459364.48652
491369.76133,5459365.20541
490884.58565699996,5459293.92925
490890.753553,5459287.95484
490890.753553,5459287.95484
490894.95337799995,5459283.88724
490983.991246,5459210.37275
490719.758655,5458990.73408
490719.758655,5458990.73408
490111.17964700004,5458391.33831
490136.17241400003,5458353.31608
489821.555914,5459300.19971
490258.242444,5458667.68005
490352.147769,5458575.73725
490351.16243500006,5458833.71184
494128.39224799996,5458384.8592
494231.036216,5458710.8472
494180.215016,5458846.25954
494180.215016,5458846.25954
494181.418675,5458846.23734
495791.003909,5457951.39123
489669.375429,5459617.69315
489675.856982,5459611.24292
494237.782686,5457645.99427
490841.32293500006,5458287.778530001
490903.393992,5458350.17891
491165.483614,5458114.94044
491169.83165699994,5458106.34483
491169.83165699994,5458106.34483
490760.825615,5459101.18511
490800.676947,5459060.294369999
490800.676947,5459060.294369999
490190.45669799997,5458582.70251
490225.18576499994,5458548.410080001
490240.87150600005,5458545.77214
490259.914825,5458514.11766
490259.914825,5458514.11766
490294.90107100003,5458479.57161
491061.572462,5458083.4017199995
490751.61557200004,5458494.06109
490751.61557200004,5458494.06109
490751.61557200004,5458494.06109
490751.61557200004,5458494.06109
490751.61557200004,5458494.06109
490761.55471999996,5458365.95883
490776.462771,5458368.04458
490236.527604,5458948.40535
490579.07530200004,5457083.80999
492719.31675299996,5457950.08725
492719.31675299996,5457950.08725
492719.503885,5457955.46904
492720.256703,5457977.10678
492720.848551,5457994.15503
491142.865751,5458001.63045
490982.607917,5459443.73681
490982.607917,5459443.73681
491019.48496800003,5459408.05791
491019.48496800003,5459408.05791
491020.59677299997,5459406.98255
491020.59677299997,5459406.98255
491020.59677299997,5459406.98255
491020.59677299997,5459406.98255
491020.59677299997,5459406.98255
491109.33970699995,5459333.8457
491117.69309399993,5459313.04039
491117.69309399993,5459313.04039
490617.01777200005,5458944.1501
490514.585289,5458726.378169999
491058.18296199996,5458236.73555
491058.18296199996,5458236.73555
491058.18296199996,5458236.73555
491060.03071400005,5458238.59242
490890.673964,5459137.7805699995
490907.55484700005,5459120.92011
490907.55484700005,5459120.92011
490907.55484700005,5459120.92011
493932.919184,5450918.86123
490991.215928,5458304.61723
490991.215928,5458304.61723
490997.82188500004,5458311.19566
490997.82188500004,5458311.19566
490997.82188500004,5458311.19566
490473.362867,5457124.92533
490473.362867,5457124.92533
490530.30924,5456859.05649
490602.491619,5456857.13994
490454.109959,5456759.28598
490582.557398,5456746.56367
490582.557398,5456746.56367
490592.45755500003,5456746.28814
490997.934798,5459279.61984
490997.934798,5459279.61984
491151.30889799993,5459458.77934
490542.80219200003,5459179.702959999
490543.485404,5459179.03914
490568.53267299995,5459141.9334
490568.53267299995,5459141.9334
490568.53267299995,5459141.9334
490585.608377,5459138.08509
489771.380249,5459261.76725
490116.89197299996,5458811.01825
490193.336274,5458732.4223
490199.15442,5458739.55451
490564.13619499997,5458455.158480001
490372.699958,5457436.26399
494371.768916,5457854.16565
490198.845054,5458899.62199
490242.633828,5458856.48
494234.68119,5456839.44964
494285.27551099996,5456838.71777
494274.155719,5456738.10964
494274.91877299995,5458624.693390001
494259.987498,5458533.540569999
490713.55553199997,5458170.18827
490995.202204,5457944.39872
491003.811786,5457952.98029
490649.133215,5459213.7511
490097.70618999994,5458687.350190001
490097.70618999994,5458687.350190001
490097.70618999994,5458687.350190001
490097.70618999994,5458687.350190001
490097.70618999994,5458687.350190001
490124.30315600004,5458660.976
491004.473157,5458039.26644
491030.831102,5458052.77134
490575.90132700006,5458314.83581
490591.26841899997,5458317.33925
490680.035105,5458406.785680001
490648.15605200006,5458239.24176
490650.590435,5458254.62287
490650.590435,5458254.62287
490650.590435,5458254.62287
490650.590435,5458254.62287
491201.658904,5457735.323480001
490460.852862,5459087.88511
489903.791837,5458982.709480001
489903.791837,5458982.709480001
489903.791837,5458982.709480001
491046.92205,5457866.69307
491051.76620699995,5457868.586630001
489988.51383400004,5458640.10166
489988.51383400004,5458640.10166
490316.334103,5458934.26437
490342.182057,5458894.45836
493985.50781899993,5457850.90737
490657.22941499995,5459358.046080001
490683.615483,5459331.68493
490731.989834,5459283.356790001
495086.663231,5457889.707280001
490420.677087,5458601.74369
494287.572894,5458223.27262
490378.576972,5456550.62968
490318.03202700004,5456333.85618
490413.079933,5456238.87666
490413.079933,5456238.87666
490370.55148,5456138.26754
490215.79651300004,5450641.72662
490411.77250200004,5456760.3704
490411.77250200004,5456760.3704
490801.142213,5459474.309640001
490879.260108,5459383.75851
490883.465492,5459392.47109
490992.153125,5459600.392990001
490992.153125,5459600.392990001
491023.488031,5459585.81381
491061.52891999995,5459578.19985
491061.52891999995,5459578.19985
491064.37532399996,5459576.87231
490898.995611,5459575.086680001
490898.995611,5459575.086680001
490899.04246,5459585.15756
491021.54934399994,5459527.907880001
490700.654425,5459484.51297
489685.71046000003,5459161.09374
490215.273584,5457295.90271
490009.525233,5458915.40334
490442.15106099995,5458334.1868
490442.15106099995,5458334.1868
490442.15106099995,5458334.1868
490451.68466800003,5458330.7879099995
489764.669687,5459023.31291
489766.690205,5459025.408
490145.366547,5458952.8408699995
490145.366547,5458952.8408699995
494428.957999,5457239.09356
494382.087258,5456727.76904
494450.453566,5458729.4891
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494146.71280200005,5450708.37095
494326.130721,5450731.895330001
494078.841724,5457787.61555
494078.841724,5457787.61555
490541.203683,5459331.60144
490890.868019,5457923.88303
490891.913796,5457924.99072
490494.71932299994,5458221.528630001
490497.554888,5458237.17925
